9, 7, 51, 54
235, 133, 35, 26
0, 0, 553, 211
321, 68, 60, 21
302, 30, 68, 56
353, 158, 20, 15
162, 78, 13, 14
228, 49, 21, 35
60, 68, 5, 63
72, 4, 88, 85
336, 60, 25, 28
384, 30, 45, 34
9, 15, 8, 16
374, 158, 19, 9
388, 32, 6, 30
176, 42, 18, 33
335, 23, 18, 7
385, 32, 20, 33
6, 0, 427, 194
35, 29, 0, 99
162, 31, 20, 61
344, 157, 88, 36
337, 32, 23, 32
421, 27, 27, 37
366, 14, 44, 14
131, 42, 11, 14
364, 25, 41, 12
332, 44, 29, 33
377, 70, 24, 18
43, 23, 24, 51
352, 163, 30, 29
329, 30, 23, 10
80, 35, 29, 47
310, 35, 6, 26
383, 14, 23, 9
301, 128, 5, 14
135, 23, 40, 92
81, 4, 30, 16
69, 4, 106, 129
251, 110, 52, 16
289, 125, 28, 17
248, 120, 11, 22
397, 35, 7, 26
222, 0, 227, 100
141, 101, 26, 15
303, 37, 14, 27
11, 5, 49, 125
72, 104, 29, 26
251, 119, 19, 16
350, 167, 15, 15
341, 165, 34, 16
244, 47, 35, 13
70, 4, 105, 94
406, 33, 6, 30
271, 36, 23, 14
249, 120, 9, 22
337, 30, 99, 34
228, 52, 29, 34
401, 74, 36, 16
257, 30, 13, 12
342, 32, 17, 28
275, 127, 8, 13
344, 158, 18, 34
379, 33, 9, 28
366, 14, 66, 17
225, 45, 9, 30
128, 98, 67, 36
100, 92, 40, 29
313, 35, 17, 28
258, 152, 54, 32
409, 33, 2, 28
372, 154, 33, 11
30, 56, 5, 61
211, 116, 9, 15
176, 31, 6, 16
209, 109, 11, 26
199, 147, 31, 34
317, 84, 16, 13
313, 35, 17, 27
129, 61, 15, 26
371, 64, 27, 21
176, 59, 12, 32
247, 166, 10, 16
334, 158, 35, 35
359, 30, 27, 30
73, 106, 28, 24
272, 30, 29, 16
247, 121, 34, 33
366, 30, 64, 32
213, 157, 16, 19
63, 95, 8, 39
411, 79, 26, 17
222, 0, 206, 100
237, 156, 46, 26
160, 77, 20, 25
64, 15, 51, 68
417, 167, 8, 20
242, 30, 50, 35
62, 0, 33, 21
206, 140, 22, 9
35, 59, 23, 71
165, 47, 23, 67
364, 40, 5, 21
239, 157, 22, 11
125, 71, 19, 23
207, 168, 13, 14
146, 116, 29, 18
299, 109, 38, 37
361, 33, 52, 32
69, 56, 103, 76
312, 127, 24, 18
242, 30, 53, 37
346, 151, 26, 11
401, 33, 27, 31
145, 113, 49, 21
295, 164, 16, 16
148, 129, 44, 15
213, 159, 19, 23
100, 91, 40, 20
317, 68, 121, 21
363, 40, 7, 21
69, 78, 75, 52
321, 68, 117, 22
366, 30, 32, 35
407, 167, 11, 21
47, 40, 21, 34
69, 74, 81, 59
86, 0, 80, 33
292, 35, 13, 24
302, 30, 134, 35
162, 107, 29, 12
408, 158, 19, 23
388, 32, 8, 30
243, 59, 50, 28
97, 70, 13, 13
360, 68, 16, 20
336, 30, 35, 35
349, 27, 100, 71
100, 91, 15, 17
237, 158, 19, 24
223, 31, 10, 50
46, 16, 96, 81
332, 44, 23, 24
97, 59, 48, 37
317, 61, 20, 11
374, 161, 19, 21
259, 126, 44, 40
312, 161, 36, 21
239, 31, 22, 15
237, 156, 23, 26
175, 47, 4, 37
78, 90, 51, 38
132, 76, 11, 15
144, 123, 51, 13
115, 93, 17, 14
238, 167, 8, 16
310, 35, 21, 28
47, 59, 12, 71
241, 48, 37, 18
271, 166, 15, 26
258, 32, 9, 9
224, 19, 21, 28
102, 26, 31, 16
22, 5, 39, 15
412, 33, 15, 30
222, 158, 18, 25
368, 166, 23, 16
213, 158, 19, 24
261, 163, 22, 19
251, 158, 10, 22
41, 0, 82, 97
64, 15, 33, 56
257, 50, 9, 9
300, 175, 41, 17
160, 77, 21, 24
98, 26, 40, 53
334, 30, 28, 33
270, 167, 10, 15
313, 151, 31, 12
337, 35, 5, 26
389, 164, 37, 25
81, 50, 17, 26
390, 157, 25, 23
244, 59, 38, 14
380, 38, 4, 18
317, 68, 59, 20
109, 93, 31, 18
97, 26, 56, 63
98, 26, 41, 53
222, 160, 70, 24
415, 78, 10, 10
97, 73, 30, 18
98, 26, 40, 56
398, 18, 35, 12
35, 29, 1, 101
23, 5, 37, 26
128, 28, 25, 27
225, 45, 9, 33
353, 163, 28, 29
142, 30, 32, 67
235, 167, 42, 18
401, 33, 27, 32
6, 16, 27, 37
68, 73, 128, 61
72, 9, 23, 25
345, 151, 62, 23
314, 168, 9, 14
310, 163, 64, 20
251, 110, 34, 16
336, 54, 25, 23
176, 42, 18, 56
245, 47, 34, 14
284, 165, 7, 16
280, 152, 32, 31
46, 16, 96, 114
144, 82, 133, 65
31, 59, 4, 53
208, 113, 27, 21
31, 59, 4, 53
95, 127, 63, 9
316, 151, 29, 16
384, 30, 49, 4
100, 91, 94, 44
148, 135, 17, 9
128, 56, 44, 72
35, 31, 23, 99
144, 82, 289, 111
98, 90, 42, 21
78, 90, 62, 38
373, 75, 11, 13
369, 165, 6, 17
375, 161, 42, 7
35, 61, 23, 68
335, 54, 106, 44
302, 30, 58, 33
245, 64, 44, 7
392, 68, 35, 9
207, 111, 33, 24
241, 23, 31, 21
6, 0, 164, 54
400, 76, 26, 12
244, 30, 29, 17
397, 164, 30, 25
77, 0, 89, 49
357, 163, 24, 29
152, 106, 38, 12
164, 134, 28, 10
403, 73, 25, 16
60, 68, 46, 63
236, 0, 35, 38
403, 167, 22, 23
357, 25, 70, 24
371, 33, 6, 30
406, 32, 7, 30
10, 7, 47, 40
190, 147, 50, 46
361, 68, 15, 20
388, 33, 5, 30
36, 95, 22, 35
333, 158, 19, 14
380, 39, 4, 18
374, 158, 19, 23
197, 132, 9, 13
100, 76, 44, 35
259, 154, 21, 12
171, 31, 23, 47
195, 153, 100, 40
302, 68, 19, 21
229, 74, 27, 15
235, 32, 15, 15
311, 30, 29, 33
223, 159, 5, 22
385, 32, 14, 33
233, 165, 73, 28
