0, 0, 421, 276
18, 91, 314, 168
158, 143, 94, 49
158, 143, 25, 33
263, 91, 40, 24
206, 16, 71, 58
280, 41, 42, 44
56, 44, 44, 71
181, 212, 31, 30
56, 146, 90, 33
168, 5, 54, 110
185, 152, 67, 41
8, 11, 44, 165
168, 157, 88, 85
295, 41, 37, 44
187, 16, 156, 99
173, 13, 52, 99
255, 218, 40, 22
181, 60, 44, 30
52, 5, 80, 152
154, 204, 147, 41
27, 47, 94, 129
2, 0, 147, 188
6, 0, 329, 259
130, 41, 16, 85
124, 30, 29, 132
177, 16, 166, 121
145, 218, 179, 35
52, 8, 73, 118
48, 0, 94, 132
177, 85, 111, 44
37, 33, 113, 149
280, 41, 56, 47
88, 80, 25, 47
122, 66, 213, 185
225, 218, 99, 35
177, 66, 35, 47
192, 152, 31, 38
48, 0, 88, 141
206, 165, 44, 30
107, 141, 42, 35
232, 38, 25, 47
71, 35, 33, 80
73, 77, 75, 102
6, 0, 141, 176
48, 0, 80, 99
261, 91, 63, 24
185, 60, 40, 35
280, 19, 42, 22
35, 0, 113, 157
173, 16, 52, 96
8, 0, 141, 179
54, 105, 67, 66
27, 80, 16, 91
8, 11, 37, 157
107, 138, 44, 44
27, 19, 35, 154
29, 49, 18, 121
8, 11, 37, 160
173, 8, 164, 113
221, 41, 54, 74
48, 0, 116, 152
166, 0, 177, 138
6, 0, 116, 176
27, 47, 27, 124
8, 0, 40, 174
6, 0, 42, 174
295, 215, 31, 33
219, 163, 31, 27
168, 0, 175, 138
154, 201, 175, 44
255, 210, 73, 41
75, 121, 31, 27
166, 0, 61, 135
181, 215, 31, 24
88, 66, 40, 91
35, 0, 128, 157
4, 19, 21, 157
52, 99, 69, 77
105, 30, 46, 127
151, 207, 61, 35
107, 141, 75, 49
73, 138, 259, 118
229, 82, 46, 33
263, 41, 73, 74
8, 5, 145, 176
37, 30, 116, 152
25, 77, 27, 99
6, 0, 158, 174
232, 41, 25, 44
255, 218, 35, 24
75, 38, 27, 71
130, 41, 33, 110
8, 11, 54, 163
166, 30, 179, 110
37, 30, 73, 94
173, 16, 50, 52
6, 27, 21, 146
37, 33, 116, 149
52, 96, 63, 77
299, 215, 31, 35
23, 41, 308, 215
37, 33, 111, 149
242, 91, 82, 24
75, 66, 107, 124
177, 63, 35, 49
255, 218, 40, 24
229, 13, 116, 113
170, 8, 166, 113
154, 201, 175, 49
130, 149, 52, 41
52, 96, 92, 80
48, 0, 84, 129
151, 207, 31, 35
8, 0, 37, 174
6, 8, 42, 165
8, 8, 40, 163
6, 8, 147, 174
145, 218, 118, 35
124, 30, 29, 146
52, 22, 80, 154
52, 8, 99, 149
189, 35, 145, 85
168, 5, 168, 116
185, 152, 67, 38
109, 22, 23, 107
299, 218, 27, 33
33, 0, 80, 157
80, 41, 23, 60
154, 204, 175, 47
175, 0, 63, 88
168, 152, 122, 91
6, 0, 40, 174
37, 5, 113, 176
37, 5, 116, 176
52, 66, 75, 110
6, 0, 143, 176
2, 0, 162, 188
33, 0, 82, 174
166, 0, 109, 135
158, 143, 94, 52
6, 0, 177, 190
175, 0, 170, 127
192, 152, 59, 38
177, 60, 48, 52
75, 66, 52, 91
33, 0, 116, 179
48, 0, 80, 102
221, 38, 54, 77
48, 0, 80, 116
189, 35, 147, 85
255, 215, 71, 33
37, 8, 116, 174
145, 157, 179, 96
173, 16, 52, 74
177, 82, 111, 47
6, 0, 122, 174
168, 152, 88, 91
37, 5, 111, 176
33, 0, 103, 174
122, 66, 213, 188
8, 5, 141, 176
166, 0, 179, 141
2, 0, 331, 257
173, 0, 65, 113
37, 0, 94, 176
8, 5, 143, 176
173, 0, 164, 129
4, 0, 327, 257
177, 38, 111, 91
145, 152, 179, 102
185, 38, 90, 77
4, 0, 44, 176
166, 0, 111, 135
173, 13, 170, 102
177, 38, 160, 91
6, 0, 126, 176
37, 0, 94, 129
130, 149, 194, 105
4, 0, 132, 176
185, 38, 139, 77
4, 0, 145, 179
6, 0, 158, 176
173, 0, 173, 129
18, 66, 316, 193
