0, 0, 553, 210
24, 69, 411, 128
207, 109, 124, 37
207, 109, 33, 25
345, 69, 52, 18
270, 12, 94, 44
367, 31, 55, 33
74, 33, 58, 54
237, 162, 41, 23
74, 111, 118, 25
221, 4, 71, 84
243, 116, 88, 31
11, 8, 58, 126
221, 120, 116, 65
387, 31, 49, 33
246, 12, 204, 75
226, 10, 69, 75
334, 166, 52, 16
237, 46, 58, 23
69, 4, 105, 116
201, 156, 193, 31
35, 35, 124, 99
2, 0, 193, 143
8, 0, 431, 198
171, 31, 22, 65
163, 23, 38, 101
232, 12, 218, 92
190, 166, 235, 27
69, 6, 96, 90
63, 0, 124, 101
232, 65, 146, 33
49, 25, 149, 113
367, 31, 74, 35
116, 61, 33, 35
160, 50, 279, 141
295, 166, 129, 27
232, 50, 47, 35
251, 116, 41, 29
63, 0, 116, 107
270, 126, 58, 23
141, 107, 55, 27
304, 29, 33, 35
94, 27, 44, 61
96, 59, 99, 78
8, 0, 185, 135
63, 0, 105, 75
342, 69, 82, 18
243, 46, 52, 27
367, 14, 55, 16
47, 0, 149, 120
226, 12, 69, 73
11, 0, 185, 137
71, 80, 88, 50
35, 61, 22, 69
11, 8, 49, 120
141, 105, 58, 33
35, 14, 47, 118
38, 37, 24, 92
11, 8, 49, 122
226, 6, 215, 86
290, 31, 71, 56
63, 0, 152, 116
218, 0, 232, 105
8, 0, 152, 135
35, 35, 35, 94
11, 0, 52, 132
8, 0, 55, 132
387, 164, 41, 25
287, 124, 41, 21
221, 0, 229, 105
201, 154, 229, 33
334, 160, 96, 31
99, 92, 41, 21
218, 0, 80, 103
237, 164, 41, 18
116, 50, 52, 69
47, 0, 168, 120
5, 14, 27, 120
69, 75, 91, 59
138, 23, 60, 97
199, 158, 80, 27
141, 107, 99, 37
96, 105, 340, 90
301, 63, 60, 25
345, 31, 96, 56
11, 4, 190, 135
49, 23, 152, 116
33, 59, 35, 75
8, 0, 207, 132
304, 31, 33, 33
334, 166, 47, 18
99, 29, 35, 54
171, 31, 44, 84
11, 8, 71, 124
218, 23, 235, 84
49, 23, 96, 71
226, 12, 66, 40
8, 21, 27, 111
49, 25, 152, 113
69, 73, 82, 59
392, 164, 41, 27
30, 31, 403, 164
49, 25, 146, 113
317, 69, 107, 18
99, 50, 141, 94
232, 48, 47, 37
334, 166, 52, 18
301, 10, 152, 86
223, 6, 218, 86
201, 154, 229, 37
171, 113, 69, 31
69, 73, 121, 61
63, 0, 110, 99
199, 158, 41, 27
11, 0, 49, 132
8, 6, 55, 126
11, 6, 52, 124
8, 6, 193, 132
190, 166, 154, 27
163, 23, 38, 111
69, 16, 105, 118
69, 6, 129, 113
248, 27, 190, 65
221, 4, 221, 88
243, 116, 88, 29
143, 16, 30, 82
392, 166, 35, 25
44, 0, 105, 120
105, 31, 30, 46
201, 156, 229, 35
229, 0, 82, 67
221, 116, 160, 69
8, 0, 52, 132
49, 4, 149, 135
49, 4, 152, 135
69, 50, 99, 84
8, 0, 188, 135
2, 0, 212, 143
44, 0, 107, 132
218, 0, 143, 103
207, 109, 124, 40
8, 0, 232, 145
229, 0, 223, 97
251, 116, 77, 29
232, 46, 63, 40
99, 50, 69, 69
44, 0, 152, 137
63, 0, 105, 78
290, 29, 71, 59
63, 0, 105, 88
248, 27, 193, 65
334, 164, 94, 25
49, 6, 152, 132
190, 120, 235, 73
226, 12, 69, 56
232, 63, 146, 35
8, 0, 160, 132
221, 116, 116, 69
49, 4, 146, 135
44, 0, 135, 132
160, 50, 279, 143
11, 4, 185, 135
218, 0, 235, 107
2, 0, 434, 196
226, 0, 85, 86
49, 0, 124, 135
11, 4, 188, 135
226, 0, 215, 99
5, 0, 428, 196
232, 29, 146, 69
190, 116, 235, 78
243, 29, 118, 59
5, 0, 58, 135
218, 0, 146, 103
226, 10, 223, 78
232, 29, 210, 69
8, 0, 165, 135
49, 0, 124, 99
171, 113, 254, 80
5, 0, 174, 135
243, 29, 182, 59
5, 0, 190, 137
8, 0, 207, 135
226, 0, 226, 99
24, 50, 414, 147
